"id","parent_organisation_id","organisation_name","trade_name","fy_start_month","fy_end_month","website","registration_number","vat_number","crm_id","status_id","registered_country_id","creator_ledger_id","created_by","updated_by","created_at","updated_at","logo_url","industry_id","currency_id","description","nace_section_id","revenue_access_number","exchange_ref_id","hierarchy_code","deleted_at","is_delete","leads_transactions_id","allow_external_app","proof_of_identity","proof_of_address","Column32"
59782,,"121-international",,January,December,"",,,,7,106,1,205,205,"2022-09-23 15:57:50","2022-09-23 15:57:50",,64,1,,475,,,,,0,0,0,,,
36882,,"122 Design Modern Furniture Ltd","",October,September,https://122design.com,"594763",,,1,106,1,,,"2021-10-05 05:13:18","2021-10-05 05:13:18",,98,1,,,,,,,0,0,0,,,
24588,,"123 Financial Services","",October,September,"","",,,1,106,1,,,"2021-10-05 05:09:37","2021-10-05 05:09:37",,64,1,,,,,,,0,0,0,,,
64234,,"1234rree","",August,July,"","","",,,105,1,139,139,"2023-08-30 04:09:45","2023-08-30 04:09:45",,98,1,,,,,,,0,95912,0,,,
5622,,"123ink.ie","",August,July,"","","","0010Y00000VBDly",1,106,1,158,158,"2017-06-30 00:00:00","2019-02-22 00:00:00",,1,1,"",2,"",I0010,#5622#,,0,0,0,,,
1257,,"13 Artists Limited","",August,July,"","7176591","","",1,233,1,1,1,"2021-08-18 12:45:56","2021-08-18 12:45:56",,1,1,"13 Artists Limited",2,"","20160128001341",#1257#,,0,0,0,,,
61640,,"1456","1456",January,December,"","123456789","123456789",,1,3,1,2,2,"2023-02-13 07:39:24","2023-02-13 07:39:24",,3,2,,457,,"20230213007907",#61640#,,0,0,0,,,
66798,,"15411396",,January,December,https://eztupup.com,,,,1,233,1,205,205,"2024-01-18 09:32:51","2024-01-18 09:32:51",,98,1,,5020,,,,,0,0,0,,,
61548,,"171259-206H","",February,January,"","","",,1,75,1,205,763,"2023-02-01 13:09:04","2023-02-01 13:55:16",,98,1,,5020,,,,,0,0,0,,,
26959,,"1984 Productions S.A.","",October,September,www.tvxs.gr,"",,,1,86,1,,,"2021-10-05 05:10:09","2021-10-05 05:10:09",,25,1,,,,,,,0,0,0,,,
63979,,"1Energin DMCC",,January,December,"1Energin DMCC",,,,1,237,1,205,205,"2023-08-11 07:28:44","2023-08-11 07:28:44",,98,1,,5020,,,,,0,0,0,,,
37654,,"1pm PLC","",October,September,www.1pm.co.uk,"5845866",,,1,233,1,,,"2021-10-05 05:13:28","2021-10-05 05:13:28",,64,2,,,,,,,0,0,0,,,
25973,,"2 Surface Leather","",October,September,"","",,,1,233,1,,,"2021-10-05 05:09:55","2021-10-05 05:09:55",,110,1,,,,,,,0,0,0,,,
29945,,"20 20 Brand + Marketing Visioniaries","",October,September,http://www.2020bmv.com,"",,,1,106,1,,,"2021-10-05 05:10:48","2021-10-05 05:10:48",,137,1,,,,,,,0,0,0,,,
16726,,"20/20 Window & Glazing Systems Limited","",October,September,www.glazing2020.typepad.com,"",,,1,106,1,,,"2021-10-05 05:06:17","2021-10-05 05:06:17",,48,1,,,,,,,0,0,0,,,
38801,,"2020 Bulkers","",October,September,"","",,,1,106,1,,,"2021-10-05 05:13:43","2021-10-05 05:13:43",,126,1,,,,,,,0,0,0,,,
36884,,"2020 Ltd","",October,September,http://2020.ie,N/A,,,1,106,1,,,"2021-10-05 05:13:18","2021-10-05 05:13:18",,98,1,,,,,,,0,0,0,,,
30268,,"2020 Software Limited","",October,September,http://www.2020.ie,"",,,1,106,1,,,"2021-10-05 05:10:53","2021-10-05 05:10:53",,89,1,,,,,,,0,0,0,,,
17247,,"2020 Software Ltd","",October,September,http://www.2020.ie,"",,,1,106,1,,,"2021-10-05 05:06:24","2021-10-05 05:06:24",,57,1,,,,,,,0,0,0,,,
68725,,"2024",,January,December,"2024.",,,,1,106,1,205,205,"2024-04-22 03:57:09","2024-04-22 03:57:09",,98,1,,5020,,,,,0,0,0,,,
66948,,"21 EMPIRE GROUP",,January,December,"",,,,1,226,1,205,205,"2024-01-28 00:08:02","2024-01-28 00:08:02",,98,1,,5020,,,,,0,0,0,,,
61757,,"210944769","",March,February,"","","",,1,59,1,205,741,"2023-02-23 00:51:02","2023-03-06 14:34:09",,64,1,,5020,,,,,0,0,0,,,
43785,,"214867698","",October,September,"","",,,1,106,1,,,"2021-10-05 05:16:30","2021-10-05 05:16:30",,,1,,,,,,,0,0,0,,,
31555,,"214875410","",October,September,"","",,,1,106,1,,,"2021-10-05 05:11:10","2021-10-05 05:11:10",,,1,,,,,,,0,0,0,,,
30391,,"2340000","",October,September,"","",,,1,106,1,,,"2021-10-05 05:10:55","2021-10-05 05:10:55",,,1,,,,,,,0,0,0,,,
41553,,"24 Hour Care Services","",October,September,www.24hrcareservice.ie,"",,,1,106,1,,,"2021-10-05 05:14:22","2021-10-05 05:14:22",,76,1,,,,,,,0,0,0,,,
16433,,"24-7 Security Limited","",December,September,www.247security.ie,IE389836,"","0010Y00000EhUdD",1,106,1,97,199,"2017-02-07 00:00:00","2020-09-17 00:00:00",,,1,"",,"",,,,0,0,0,,,
16888,,"24-7 Security Ltd","",October,September,http://www.247security.ie,"",,,1,106,1,,,"2021-10-05 05:06:19","2021-10-05 05:06:19",,83,1,,,,,,,0,0,0,,,
20499,,"24/7 Accounts Ltd","",October,September,http://www.247accounts.ie,"",,,1,106,1,,,"2021-10-05 05:07:06","2021-10-05 05:07:06",,3,1,,,,,,,0,0,0,,,
18273,,"2468 Group","",October,September,http://www.2468group.com,"",,,1,106,1,,,"2021-10-05 05:06:37","2021-10-05 05:06:37",,88,1,,,,,,,0,0,0,,,
43677,,"247meeting","",October,September,http://www.247meeting.com,"",,,1,106,1,,,"2021-10-05 05:16:28","2021-10-05 05:16:28",,83,1,,,,,,,0,0,0,,,
2248,,"25/8 Agency S..R.L.","",August,July,"",LU28266388,"","",1,127,1,1,1,"2021-08-18 12:46:10","2021-08-18 12:46:10",,1,1,"25/8 Agency S..R.L.",2,"","20161028003512",#2248#,,0,0,0,,,
24905,,"256Media","",October,September,www.256media.ie,"",,,1,106,1,,,"2021-10-05 05:09:41","2021-10-05 05:09:41",,47,1,,,,,,,0,0,0,,,
69003,,"2812 Capital",,January,December,"",,,,1,196,1,205,205,"2024-05-04 11:49:15","2024-05-04 11:49:15",,98,1,,5020,,,,,0,0,0,,,
60135,,"29 K Financial Analysis & Consultancy LLC",,January,December,http://www.29kadvisers.ae/,,,,7,106,1,205,205,"2022-09-23 15:58:00","2022-09-23 15:58:00",,64,1,,475,,,,,0,0,0,,,
69493,,"29th Farm",,January,December,"",,,,1,88,1,205,205,"2024-05-28 16:03:06","2024-05-28 16:03:06",,98,1,,5020,,,,,0,0,0,,,
67355,,"2AAs LLC",,January,December,"2AAs LLC",,,,1,185,1,205,205,"2024-02-21 02:00:00","2024-02-21 02:00:00",,98,1,,5020,,,,,0,0,0,,,
67891,,"2brothers Technical services",,January,December,"",,,,1,235,1,205,205,"2024-03-16 19:27:24","2024-03-16 19:27:24",,98,1,,5020,,,,,0,0,0,,,
35796,,"2E Maritime","",October,September,"","",,,1,106,1,,,"2021-10-05 05:13:04","2021-10-05 05:13:04",,126,1,,,,,,,0,0,0,,,
45606,,"2eva.ie - Energy Consultants","",October,September,www.2eva.ie,"",,,1,106,1,,,"2021-10-05 05:16:54","2021-10-05 05:16:54",,,1,,,,,,,0,0,0,,,
42810,,"2Flow","",October,September,www.2flow.ie,"",,,1,106,1,,,"2021-10-05 05:16:16","2021-10-05 05:16:16",,135,1,,,,,,,0,0,0,,,
25886,,"2FM","",October,September,www.2fm.rte.ie,"",,,1,106,1,,,"2021-10-05 05:09:54","2021-10-05 05:09:54",,24,1,,,,,,,0,0,0,,,
62932,,"2G constration",,January,December,Profitabl,,,,1,71,1,205,205,"2023-05-26 13:02:39","2023-05-26 13:02:39",,98,1,,5020,,,,,0,0,0,,,
62933,,"2g constration",,January,December,Iossrr,,,,1,71,1,205,205,"2023-05-26 13:12:20","2023-05-26 13:12:20",,98,1,,5020,,,,,0,0,0,,,
62934,,"2gconstration",,January,December,Losser,,,,1,71,1,205,205,"2023-05-26 13:19:46","2023-05-26 13:19:46",,98,1,,5020,,,,,0,0,0,,,
59783,,"2GFund Holdings Co",,January,December,http://www.2gfund.org/,,,,7,106,1,205,205,"2022-09-23 15:57:50","2022-09-23 15:57:50",,64,1,,475,,,,,0,0,0,,,
66316,,"2GO LTD",,January,December,www.2go.ng,,,,1,159,1,205,205,"2023-12-24 13:42:44","2023-12-24 13:42:44",,98,1,,5020,,,,,0,0,0,,,
1362,,"2Go Shoe Company Gmbh","2Go Shoes",August,July,"","","","",1,83,1,1,1,"2021-08-18 12:45:57","2021-08-18 12:45:57",,1,1,"2Go Shoe Company Gmbh",2,"","20160222001581",#1362#,,0,0,0,,,
39627,,"2K Shipping & Trading Ltd","",February,January,"","","",,1,227,1,,237,"2021-10-05 05:13:56","2023-02-24 13:11:46",,123,1,,,,,,,0,0,0,,,
56128,,"2KAPPA LTD","",July,June,"","","",,,86,1,216,216,"2022-07-15 14:09:53","2022-07-15 14:09:53",,126,1,,,,,,,0,80145,0,,,
16036,,"2M Engineering","",October,September,http://www.2m.ie,"",,,1,106,1,,,"2021-10-05 05:06:08","2021-10-05 05:06:08",,89,1,,,,,,,0,0,0,,,
38030,,"2M Engineering Limited","",October,September,www.2m.ie,"",,,1,106,1,,,"2021-10-05 05:13:33","2021-10-05 05:13:33",,59,1,,,,,,,0,0,0,,,
69953,,"2MHandiart",,January,December,N/A,,,,1,84,1,205,205,"2024-06-12 02:39:32","2024-06-12 02:39:32",,98,1,,5020,,,,,0,0,0,,,
5623,,"2Plus Bookkeeping & Payroll","",August,July,"","","","0010Y00000VBDme",1,106,1,158,158,"2017-06-30 00:00:00","2018-12-14 00:00:00",,1,1,"",2,"",P0009,#5623#,,0,0,0,,,
18940,,"2Tel Communications Limited","",October,September,http://www.2tel.ie,"",,,1,106,1,,,"2021-10-05 05:06:46","2021-10-05 05:06:46",,59,1,,,,,,,0,0,0,,,
1995,,"3 Arena","",August,July,"",IE128549,"","",1,106,1,1,1,"2021-08-18 12:46:06","2021-08-18 12:46:06",,1,1,"3 Arena",2,"","20160803003029",#1995#,,0,0,0,,,
59705,,"3 AXES",,January,December,https://www.3axes.eu/,,,,7,86,1,205,205,"2022-09-16 12:33:34","2022-09-16 12:33:34",,64,1,,475,,,,,0,0,0,,,
49105,,"3 GPN Scaffolding Limited","",December,September,http://www.3scaffolding.com,IE541654,"","0010Y00000eD0fw",1,106,1,105,158,"2017-09-21 00:00:00","2019-02-26 00:00:00",,77,1,"",,"",,,,0,0,0,,,
32816,,"3 Ireland Ltd","",October,September,http://www.three.ie,"",,,1,106,1,,,"2021-10-05 05:11:28","2021-10-05 05:11:28",,83,1,,,,,,,0,0,0,,,
42774,,"3 Media","",October,September,www.three.ie,"",,,1,106,1,,,"2021-10-05 05:16:15","2021-10-05 05:16:15",,4,1,,,,,,,0,0,0,,,
70513,,"3 R Mobile Private Limited",,January,December,www.3rmobile.com,,,,1,201,1,205,205,"2024-06-26 10:35:34","2024-06-26 10:35:34",,98,1,,5020,,,,,0,0,0,,,
31282,,"3 Scaffolding","",October,September,http://www.3scaffolding.com,"",,,1,106,1,,,"2021-10-05 05:11:07","2021-10-05 05:11:07",,,1,,,,,,,0,0,0,,,
70231,,"3 Step Ahead Production",,January,December,Www.instagram/iam3step,,,,1,106,1,205,205,"2024-06-19 09:08:53","2024-06-19 09:08:53",,98,1,,5020,,,,,0,0,0,,,
64369,,"30 Floor Investment,S.L",,January,December,www.investmentprivatefounds.com,,,,1,200,1,205,205,"2023-09-08 18:00:23","2023-09-08 18:00:23",,98,1,,5020,,,,,0,0,0,,,
68608,,"300-342NPO",,January,December,"300-342NPO",,,,1,196,1,205,205,"2024-04-18 12:46:26","2024-04-18 12:46:26",,98,1,,5020,,,,,0,0,0,,,
48165,,"304 Clothing Limited","",October,September,"","8191049","","0011v00002mLE9c",1,106,1,205,205,"2020-09-07 00:00:00","2020-09-07 00:00:00",,33,2,"",,"",,,,0,0,0,,,
67345,,"34","",February,January,"","","",,1,102,1,205,205,"2024-02-20 11:34:07","2024-02-23 11:55:51",,98,1,,5020,,,,,0,0,0,,,
131,,"36 Broadway","",August,July,"","1170027","","0011v000023ZZZ9",1,106,1,1,449,"2019-03-20 00:00:00","2021-04-08 00:00:00",,1,1,"",2,"","20190320006841",#131#,,0,0,0,,,
60418,,"360 Audit & Business Consultants LLC",,January,December,"",,,,7,237,1,205,741,"2022-09-28 13:21:55","2022-09-28 13:21:55",,64,1,,475,,,,,0,0,0,,,
31030,,"360 Degrees Cycles Limited","",October,September,"","",,,1,106,1,,,"2021-10-05 05:11:03","2021-10-05 05:11:03",,,1,,,,,,,0,0,0,,,
42833,,"360 Insulations","",October,September,www.360insulations.com,"",,,1,106,1,,,"2021-10-05 05:16:16","2021-10-05 05:16:16",,48,1,,,,,,,0,0,0,,,
56286,,"36N Capital","",November,October,"","","",,,135,1,218,763,"2022-07-21 13:55:21","2022-11-17 15:06:55",,64,1,,,,,,,0,80629,0,,,
61635,,"38 Management","",February,January,"","","",,1,233,1,205,216,"2023-02-13 08:22:18","2023-02-15 09:27:38",,78,1,,5020,,,,,0,0,0,,,
55137,,"3A Stainless Steel Limited","",,,"","8277202","","0011v00002fB1Ap",,106,1,199,199,"2020-05-15 00:00:00","2020-05-15 00:00:00",,,1,"",,"",,,,0,0,0,,,
66348,,"3arte",,January,December,www.3arte.pl,,,,1,175,1,205,205,"2023-12-27 09:11:38","2023-12-27 09:11:38",,98,1,,5020,,,,,0,0,0,,,
44154,,"3D Air Sales Ireland Limited","",October,September,http://www.3dair.co.uk,"",,,1,106,1,,,"2021-10-05 05:16:35","2021-10-05 05:16:35",,89,1,,,,,,,0,0,0,,,
31743,,"3D Design Bureau","",October,September,http://www.3ddesignbureau.com,"",,,1,106,1,,,"2021-10-05 05:11:13","2021-10-05 05:11:13",,89,1,,,,,,,0,0,0,,,
2205,,"3D Family Usa Limited","",August,July,"","270176066","","",1,234,1,1,1,"2021-08-18 12:46:09","2021-08-18 12:46:09",,1,1,"3D Family Usa Limited",2,"","20161012003411",#2205#,,0,0,0,,,
36885,,"3D Issue Ltd","",October,September,https://www.3dissue.com,"387884",,,1,106,1,,,"2021-10-05 05:13:18","2021-10-05 05:13:18",,98,1,,,,,,,0,0,0,,,
48114,,"3D Personnel Limited","",October,September,www.3dpersonnel.com,IE441121,,,1,106,1,,,"2021-10-05 05:17:30","2021-10-05 05:17:30",,98,1,,,,,,,0,0,0,,,
56126,,"3D Print World PVT","",November,October,"","","",,1,102,1,205,763,"2022-07-15 12:10:21","2022-11-28 16:26:24",,98,1,,5020,,,,,0,0,0,,,
5624,,"3D Printing Ireland","3D Printing Ireland",August,July,www.3dprintingireland.com,"539832",IE3274061HH,"0011v00001ktv5K",1,106,1,144,158,"2018-09-06 00:00:00","2019-02-22 00:00:00",,1,1,"",2,"",P0011,#5624#,,0,0,0,,,
48115,,"3D Specialist Contracting Limited","",October,September,"",IE510475,,,1,106,1,,,"2021-10-05 05:17:30","2021-10-05 05:17:30",,98,1,,,,,,,0,0,0,,,
31746,,"3D Technology Ltd","",October,September,"","",,,1,106,1,,,"2021-10-05 05:11:13","2021-10-05 05:11:13",,,1,,,,,,,0,0,0,,,
47937,,"3Dnr (Charleston) Limited","",October,September,"",IE619481,,,1,106,1,,,"2021-10-05 05:17:27","2021-10-05 05:17:27",,98,1,,,,,,,0,0,0,,,
45665,,"3Dom Filaments","",October,September,"","",,,1,106,1,,,"2021-10-05 05:16:55","2021-10-05 05:16:55",,46,1,,,,,,,0,0,0,,,
60296,,"3E Accounting Pte. Ltd",,January,December,"",,,,7,173,1,205,741,"2022-09-28 13:21:52","2022-09-28 13:21:52",,64,1,,475,,,,,0,0,0,,,
61918,,"3e Capital Partners GmbH","",March,February,"","","",,,83,1,205,205,"2023-03-06 20:43:46","2023-03-06 20:46:47",,64,1,,,,,,,0,91096,0,,,
47374,,"3F Leisure Ltd","",October,September,"","5728901",,,1,233,1,,,"2021-10-05 05:17:19","2021-10-05 05:17:19",,76,1,,,,,,,0,0,0,,,
45737,,"3FE Coffee Limited","",October,September,https://3fe.com/,"",,,1,106,1,,,"2021-10-05 05:16:56","2021-10-05 05:16:56",,65,1,,,,,,,0,0,0,,,
5,,"3G Truck & Trailer Parts Limited","",August,July,"","","","",1,106,1,1,1,"2021-08-18 12:45:42","2021-08-18 12:45:42",,1,1,"3G Truck & Trailer Parts Limited",2,"","20180911006176",#5#,,0,0,0,,,
3770,,"3G Truck & Trailer Parts Limited","",August,July,"",GB990875367,"","",1,233,1,1,1,"2021-08-18 12:46:30","2021-08-18 12:46:30",,1,2,"3G Truck & Trailer Parts Limited",2,"","20180911006176",#3770#,,0,0,0,,,
6383,3770,"3G Truck & Trailer Parts Limited (Dormant)","3G Truck & Trailer Parts Limited (DORMANT)",August,July,"",GB990875367-1,"","",1,233,1,1,1,"2021-08-18 12:47:23","2021-08-18 12:47:23",,1,2,"3G Truck & Trailer Parts Limited (Dormant)",2,"","20180911000036",#3770#6383#,,0,0,0,,,
53737,,"3G Truck & Trailer Parts Ltd","",,,"",GB990875367,"","0011v00001kvHOc",,106,1,1,449,"2018-09-11 00:00:00","2021-04-08 00:00:00",,,1,"",,"",,,,0,0,0,,,
60022,,"3i Capital Group Corporation",,January,December,http://www.3icgroup.com/,,,,7,106,1,205,205,"2022-09-23 15:57:57","2022-09-23 15:57:57",,64,1,,475,,,,,0,0,0,,,
28337,,"3I International Innovative Industries S.A.","",October,September,www.isopipe.eu,"",,,1,86,1,,,"2021-10-05 05:10:27","2021-10-05 05:10:27",,89,1,,,,,,,0,0,0,,,
62621,,"3kkk",,January,December,"",,,,1,66,1,205,205,"2023-04-30 08:20:40","2023-05-18 12:57:19",,98,1,,5020,,,,,0,93166,0,,,
59628,,"3M Decorative Antiques ltd","",November,October,https://decorativeandantiques.com/,"","",,1,233,1,205,763,"2022-09-12 05:51:08","2022-11-29 09:51:21",,98,1,,5020,,,,,0,0,0,,,
29926,,"3M Ireland Limited","",October,September,http://www.3m.com/ie,"",,,1,106,1,,,"2021-10-05 05:10:48","2021-10-05 05:10:48",,89,1,,,,,,,0,0,0,,,
44813,,"3M Ireland Ltd","",October,September,http://www.3m.com/ie,"",,,1,106,1,,,"2021-10-05 05:16:43","2021-10-05 05:16:43",,89,1,,,,,,,0,0,0,,,
61706,,"3M Science Applied to life","",February,January,"","","",,,234,1,763,763,"2023-02-17 15:13:29","2023-02-17 15:13:29",,64,1,,,,,,,0,90587,0,,,
55697,,"3P Logistics",,January,December,enquiries@3p-logistics.co.uk,,,,1,106,1,205,205,"2022-03-22 13:37:43","2022-03-22 13:37:43",,126,1,,5020,,,,,0,0,0,,,
45970,,"3Rs Office Supplies Limited","",October,September,"","",,,1,106,1,,,"2021-10-05 05:16:59","2021-10-05 05:16:59",,118,1,,,,,,,0,0,0,,,
60419,,"3S Capital Investment LLC",,January,December,"",,,,7,237,1,205,741,"2022-09-28 13:21:55","2022-09-28 13:21:55",,64,1,,475,,,,,0,0,0,,,
61619,,"3S Egycrete for contracting","",February,January,"","","",,1,66,1,205,768,"2023-02-11 10:12:24","2023-02-13 16:26:00",,45,1,,5020,,,,,0,0,0,,,
46183,,"3Sixty Financial Planning","",October,September,www.3sixty.ie/,"","","0010Y00000uliFJ",1,106,1,164,158,"2017-11-22 00:00:00","2019-02-26 00:00:00",,,1,"",,"",,,,0,0,0,,,
64686,,"3T MMC",,January,December,"",,,,1,15,1,205,205,"2023-09-30 23:39:06","2023-09-30 23:39:06",,98,1,,5020,,,,,0,0,0,,,
47794,,"3TI Energy Hubs Limited","",October,September,www.3ti.co.uk,"11868514","","0011v000037lg4e",1,233,1,140,140,"2021-10-21 00:00:00","2021-11-26 00:00:00",,57,2,"",,"",,,,0,74394,0,,,
1213,,"3Waylabs (Cubatron)","",August,July,"","","","",1,234,1,1,1,"2021-08-18 12:45:55","2021-08-18 12:45:55",,1,3,"3Waylabs (Cubatron)",2,"","20160105001253",#1213#,,0,0,0,,,
6,,"4 Aces","",August,July,"","","","",1,106,1,1,1,"2021-08-18 12:45:42","2021-08-18 12:45:42",,1,1,"4 Aces",2,"","20160217001506",#6#,,0,0,0,,,
6384,6,"4 Aces Wholesale Limited","4 Aces Wholesale Limited Better Deal Cash & Carry Limited",August,July,"",IE102166,"","",1,106,1,1,1,"2021-08-18 12:47:23","2021-08-18 12:47:23",,1,1,"4 Aces Wholesale Limited",2,"","20160217000037",#6#6384#,,0,0,0,,,
39717,,"4 D Properties Limited","",October,September,"",IE167074,,,1,106,1,,,"2021-10-05 05:13:57","2021-10-05 05:13:57",,98,1,,,,,,,0,0,0,,,
26281,,"4 Teens Sole Shareholder  Co. Ltd","",October,September,www.beyou.com.gr,"",,,1,86,1,,,"2021-10-05 05:09:59","2021-10-05 05:09:59",,33,1,,,,,,,0,0,0,,,
30427,,"419871785","",October,September,"","",,,1,106,1,,,"2021-10-05 05:10:55","2021-10-05 05:10:55",,,1,,,,,,,0,0,0,,,
31967,,"433340300","",October,September,"","",,,1,106,1,,,"2021-10-05 05:11:16","2021-10-05 05:11:16",,,1,,,,,,,0,0,0,,,
65611,,"4A Global Energy Solution Limited",,January,December,"",,,,1,159,1,205,205,"2023-11-28 11:03:36","2023-11-28 11:03:36",,98,1,,5020,,,,,0,0,0,,,
